Transaction ID,Date,Project ID,Project Name,Department,Expense Category,Sub-Category,Vendor,Description,Amount,Payment Method,Status
1,2024-01-01,PROJ-001,Alpha Launch,Marketing,Travel,Flights,AeroJet Airlines,Flight to marketing conference,$850.50,Company Credit Card,Approved
2,2024-01-01,PROJ-002,Beta Test,Engineering,Software,SaaS Subscription,TechFlow Solutions,Monthly software license,$1500.00,Bank Transfer,Approved
3,2024-01-02,PROJ-003,Gamma Integration,Sales,Supplies,Office Supplies,OfficeMax Inc.,Printer paper and ink,$45.75,Company Credit Card,Approved
4,2024-01-02,PROJ-001,Alpha Launch,Marketing,Marketing,Digital Ads,AdSense,Q1 ad campaign budget,$2500.00,Bank Transfer,Approved
5,2024-01-03,PROJ-004,Delta R&D,Research,Payroll,Contractor,Data Analytics Corp.,Data analysis services,$3000.00,Bank Transfer,Approved
6,2024-01-03,PROJ-002,Beta Test,Engineering,Supplies,Hardware,MicroElectronics,Circuit boards for prototype,$780.20,Company Credit Card,Approved
7,2024-01-04,PROJ-001,Alpha Launch,Marketing,Travel,Accommodation,Hilton,Hotel stay for conference,$320.00,Company Credit Card,Approved
8,2024-01-04,PROJ-005,Epsilon Dev,Engineering,Software,Cloud Services,CloudBurst Inc.,Cloud server costs,$120.00,Company Credit Card,Approved
9,2024-01-05,PROJ-003,Gamma Integration,Sales,Travel,Meals,Local Diner,Client lunch meeting,$65.40,Company Credit Card,Approved
10,2024-01-05,PROJ-004,Delta R&D,Research,Software,SaaS Subscription,BioTech Tools,Lab software subscription,$850.00,Bank Transfer,Approved
11,2024-01-06,PROJ-001,Alpha Launch,Marketing,Supplies,Promotional Items,PromoPlus,Branded pens and notebooks,$215.00,Company Credit Card,Approved
12,2024-01-06,PROJ-002,Beta Test,Engineering,Payroll,Salaries,Employee A,Bi-weekly salary,$2500.00,Bank Transfer,Approved
13,2024-01-07,PROJ-005,Epsilon Dev,Engineering,Supplies,Office Supplies,Office Depot,Ergonomic keyboard,$85.00,Company Credit Card,Approved
14,2024-01-07,PROJ-003,Gamma Integration,Sales,Marketing,Client Gifts,GiftBasket Co.,Holiday gift for client,$125.00,Company Credit Card,Approved
15,2024-01-08,PROJ-004,Delta R&D,Research,Travel,Flights,FlyHigh Airlines,Flight to lab research facility,$520.00,Company Credit Card,Approved
16,2024-01-08,PROJ-001,Alpha Launch,Marketing,Software,Design Tools,Design Suite Pro,Annual license fee,$1800.00,Bank Transfer,Approved
17,2024-01-09,PROJ-002,Beta Test,Engineering,Travel,Meals,Corporate Dining,Team lunch,$95.00,Company Credit Card,Approved
18,2024-01-09,PROJ-005,Epsilon Dev,Engineering,Software,Development Tools,CodeWare Inc.,IDE license,$200.00,Bank Transfer,Approved
19,2024-01-10,PROJ-003,Gamma Integration,Sales,Travel,Accommodation,Inn & Suites,Hotel for sales meeting,$180.00,Company Credit Card,Approved
20,2024-01-10,PROJ-004,Delta R&D,Research,Supplies,Lab Equipment,Lab Essentials,Test tubes and beakers,$250.00,Company Credit Card,Approved
21,2024-01-11,PROJ-001,Alpha Launch,Marketing,Marketing,Events,Event Planners,Product launch event space,$5000.00,Bank Transfer,Approved
22,2024-01-11,PROJ-002,Beta Test,Engineering,Payroll,Salaries,Employee B,Bi-weekly salary,$2800.00,Bank Transfer,Approved
23,2024-01-12,PROJ-005,Epsilon Dev,Engineering,Supplies,Electronics,Gadget Store,USB-C cables,$25.00,Company Credit Card,Approved
24,2024-01-12,PROJ-003,Gamma Integration,Sales,Software,CRM,SalesForce,Monthly CRM subscription,$150.00,Bank Transfer,Approved
25,2024-01-13,PROJ-004,Delta R&D,Research,Travel,Transportation,Rent-A-Car,Car rental for research trip,$110.00,Company Credit Card,Approved
26,2024-01-13,PROJ-001,Alpha Launch,Marketing,Supplies,Printed Materials,PrintShop,Product brochures,$450.00,Company Credit Card,Approved
27,2024-01-14,PROJ-002,Beta Test,Engineering,Travel,Accommodation,Hotel California,Hotel for vendor meeting,$220.00,Company Credit Card,Approved
28,2024-01-14,PROJ-005,Epsilon Dev,Engineering,Payroll,Salaries,Employee C,Bi-weekly salary,$3200.00,Bank Transfer,Approved
29,2024-01-15,PROJ-003,Gamma Integration,Sales,Software,Sales Tools,Sales Navigator,Annual subscription,$800.00,Bank Transfer,Approved
30,2024-01-15,PROJ-004,Delta R&D,Research,Payroll,Contractor,Lab Consultant,Lab consultation fees,$1500.00,Bank Transfer,Approved
31,2024-01-16,PROJ-001,Alpha Launch,Marketing,Marketing,Social Media Ads,SocialAds Co.,Monthly social media ads,$300.00,Company Credit Card,Approved
32,2024-01-16,PROJ-002,Beta Test,Engineering,Supplies,Hardware,Hardware Depot,Screws and bolts,$12.50,Petty Cash,Approved
33,2024-01-17,PROJ-005,Epsilon Dev,Engineering,Travel,Meals,Pizza Place,Late-night team dinner,$75.00,Company Credit Card,Approved
34,2024-01-17,PROJ-003,Gamma Integration,Sales,Travel,Flights,AeroJet Airlines,Client visit flight,$350.00,Company Credit Card,Approved
35,2024-01-18,PROJ-004,Delta R&D,Research,Software,Data Analytics,DataGenius,Annual license,$1500.00,Bank Transfer,Approved
36,2024-01-18,PROJ-001,Alpha Launch,Marketing,Marketing,PR,Public Relations Group,Press release distribution,$900.00,Bank Transfer,Approved
37,2024-01-19,PROJ-002,Beta Test,Engineering,Software,SaaS Subscription,Jira,Project management software,$100.00,Company Credit Card,Approved
38,2024-01-19,PROJ-005,Epsilon Dev,Engineering,Travel,Accommodation,Inn & Suites,Hackathon hotel stay,$280.00,Company Credit Card,Approved
39,2024-01-20,PROJ-003,Gamma Integration,Sales,Payroll,Commissions,Sales Agent A,Quarterly commission,$1200.00,Bank Transfer,Approved
40,2024-01-20,PROJ-004,Delta R&D,Research,Supplies,Lab Equipment,BioLab,Microscopes,$4500.00,Bank Transfer,Approved
41,2024-01-21,PROJ-001,Alpha Launch,Marketing,Travel,Accommodation,Hilton,Hotel stay for a week,$1400.00,Company Credit Card,Approved
42,2024-01-21,PROJ-002,Beta Test,Engineering,Software,Design Tools,SketchUp,Design software license,$450.00,Company Credit Card,Approved
43,2024-01-22,PROJ-005,Epsilon Dev,Engineering,Supplies,Hardware,Electro Parts,Wiring and connectors,$45.00,Petty Cash,Approved
44,2024-01-22,PROJ-003,Gamma Integration,Sales,Travel,Meals,Steakhouse,Client dinner,$210.00,Company Credit Card,Approved
45,2024-01-23,PROJ-004,Delta R&D,Research,Payroll,Salaries,Employee D,Bi-weekly salary,$3500.00,Bank Transfer,Approved
46,2024-01-23,PROJ-001,Alpha Launch,Marketing,Marketing,SEO,SEO Gurus,Monthly SEO services,$500.00,Bank Transfer,Approved
47,2024-01-24,PROJ-002,Beta Test,Engineering,Travel,Flights,FlyHigh Airlines,Flight to supplier,$410.00,Company Credit Card,Approved
48,2024-01-24,PROJ-005,Epsilon Dev,Engineering,Software,Cloud Services,CloudBurst Inc.,Quarterly cloud costs,$1800.00,Bank Transfer,Approved
49,2024-01-25,PROJ-003,Gamma Integration,Sales,Supplies,Office Supplies,Staples,Whiteboard and markers,$90.00,Company Credit Card,Approved
50,2024-01-25,PROJ-004,Delta R&D,Research,Travel,Accommodation,Grand Hotel,Hotel for conference,$250.00,Company Credit Card,Approved
51,2024-01-26,PROJ-001,Alpha Launch,Marketing,Marketing,Social Media Ads,SocialAds Co.,More ads,$300.00,Company Credit Card,Approved
52,2024-01-26,PROJ-002,Beta Test,Engineering,Payroll,Salaries,Employee E,Bi-weekly salary,$2600.00,Bank Transfer,Approved
53,2024-01-27,PROJ-005,Epsilon Dev,Engineering,Supplies,Electronics,Gadget Store,Wireless mouse,$40.00,Company Credit Card,Approved
54,2024-01-27,PROJ-003,Gamma Integration,Sales,Software,Sales Tools,Sales Navigator,Monthly subscription,$150.00,Bank Transfer,Approved
55,2024-01-28,PROJ-004,Delta R&D,Research,Travel,Transportation,Rent-A-Car,Car rental for research trip,$120.00,Company Credit Card,Approved
56,2024-01-28,PROJ-001,Alpha Launch,Marketing,Marketing,PR,Public Relations Group,PR retainer fee,$1500.00,Bank Transfer,Approved
57,2024-01-29,PROJ-002,Beta Test,Engineering,Travel,Meals,Cafe,Team coffee break,$35.00,Petty Cash,Approved
